Economy,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
02_BD,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
03_CDA,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
04_CHL,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
05_PRC,Access to clean fuels and technologies for cooking (% of population) Logistic curve 2010,,,,,,,,,,,42,42.3,43.1,43.4,44.9,46.3,47.7,49.4,51.1,53.5,55.6,58,60.7,63.2,66,68.4,70.6,73.2,75.6,77.6,79.4,80.97504492,82.62976442,84.16870044,85.59506161,86.91289298,88.12688635,89.24220548,90.2643296,91.19891668,92.05168708,92.82832701,93.53441061,94.17533905,94.75629467,95.28220817,95.75773703,96.18725303,96.57483735,96.9242817,97.239094,97.52250762,97.7774931,98.00677166,98.21282967,98.39793382,98.56414631,98.71333993,98.84721278,98.9673023,99.07499878,99.17155798,99.25811302,99.33568543,99.4051954,99.46747125,99.5232581,99.57322589,99.61797661,99.65805097,99.69393443,99.7260627,99.75482671,99.78057707,99.80362822,99.82426203,99.84273115,99.85926201,99.87405746,99.88729926,99.8991502
06_HKC,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
07_INA,Access to clean fuels and technologies for cooking (% of population) Logistic curve 2010,,,,,,,,,,,6.1,6.9,8,9.3,11.3,14.1,17.9,22.5,28.5,34.7,41.3,47.3,52.9,58,62.8,67.1,71.2,75.1,78.7,81.85,84.5,87.67358141,89.77241915,91.54833506,93.03978958,94.28448075,95.31778606,96.1718656,96.87526029,97.4528339,97.92593507,98.31268561,98.62832901,98.88559478,99.09505142,99.26543234,99.40392743,99.51643791,99.60779549,99.68194839,99.74211773,99.79092804,99.83051554,99.86261752,99.88864587,99.90974736,99.92685307,99.94071864,99.95195714,99.96106589,99.9684482,99.9744311,99.97927976,99.98320911,99.98639341,99.98897389,99.99106502,99.9927596,99.99413281,99.99524559,99.99614732,99.99687804,99.99747017,99.99794999,99.99833881,99.99865388,99.9989092,99.99911609,99.99928374,99.99941959,99.99952968
08_JPN,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
09_ROK,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10_MAS,Access to clean fuels and technologies for cooking (% of population) stable around 98%,,,,,,,,,,,98,98,98.1,98.2,98.1,98.1,98.1,98,98,97.7,97.7,97.6,97.4,97.2,97.1,96.8,96.6,96.5,96.1,95.8,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5
11_MEX,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,82.4,83.1,84.1,84.6,84.9,85.3,85.3,85.4,85.4,85.2,85,84.85,84.6,84.6,84.6,84.6,84.8,84.8,84.8,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9
12_NZ,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13_PNG,Access to clean fuels and technologies for cooking (% of population),,,,,,,,,,,5.6,5.7,5.9,6.1,6.1,6.5,6.7,6.9,7.1,7.4,7.7,7.8,8.2,8.2,8.5,8.7,8.85,8.8,9,9.1,9.4,9.618937348,9.813130364,10.01080963,10.21202011,10.41680664,10.62521389,10.83728629,11.05306804,11.27260305,11.49593488,11.72310674,11.95416141,12.18914122,12.42808797,12.67104294,12.91804679,13.16913953,13.42436047,13.68374817,13.94734038,14.21517399,14.48728497,14.76370833,15.04447805,15.32962702,15.61918696,15.91318844,16.2116607,16.51463171,16.82212801,17.13417471,17.45079539,17.77201207,18.09784512,18.42831319,18.76343318,19.10322017,19.4476873,19.79684579,20.15070482,20.50927149,20.87255075,21.24054533,21.61325571,21.99068003,22.37281404,22.75965107,23.15118192,23.54739486,23.94827554
