Economy,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,Millions,540552.4646,535155.5442,548869.7431,570474.368,598100.0066,615805.3008,640613.7036,670114.0131,701286.2565,731755.8928,754438.6868,774537.194,806826.9147,831176.9857,865338.7119,891289.5444,914479.2583,954396.4556,978871.3553,997577.6491,1021869.566,1050767.063,1090463.017,1114543.47,1142972.015,1169437.604,1201021.961,1229552.52,1263740.164,1288779.096,1261239.585,1323122.309,1372739.281,1398668.628,1423872.478,1452512.099,1483745.484,1517587.792,1551096.269,1582054.742,1610320.672,1635824.969,1665112.188,1692144.692,1723118.091,1751189.137,1783314.86,1812420.933,1845793.748,1876032.023,1910672.152,1942106.917,1978100.154,2010839.069,2048328.301,2082418.908,2121405.882,2156853.272,2197363.882,2234187.756,2276261.379,2314551.8,2358320.639,2398269.878,2444012.066,2485806.71,2533558.691,2577255.561,2627276.123,2673054.821,2725312.943,2773204.996,2827855.965,2877940.842,2934966.245,2987243.909,3046702.793,3101193.388,3163015.335,3219750.959,3284136.351
02_BD,Millions,18399.61475,18973.2868,19898.08956,20010.15972,20594.56587,21502.11749,22181.7344,21840.05714,21731.5549,22365.77016,23009.97075,23638.12155,24534.4646,25225.10924,25360.016,25515.63062,26637.0357,26641.443,26124.8925,25657.1592,26344.54899,27291.00861,27587.08743,26960.49447,26329.73328,26171.92508,25535.79981,25921.1267,25881.12436,26936.0314,27235.7551,26778.9466,27113.3404,28019.8234,28924.8272,29858.9936,30606.1272,31660.4614,32073.75204,32489.21243,32907.62139,33327.52291,33749.13046,34172.11565,34595.01664,35017.55949,35439.72434,35860.6586,36278.80406,36695.71066,37109.81195,37521.42557,37931.95551,38339.5995,38744.89758,39145.881,39542.57722,39940.06803,40338.10153,40737.10222,41134.60513,41532.10169,41927.95169,42323.4329,42717.18071,43109.78725,43500.47176,43889.80086,44277.31379,44664.22322,45050.34759,45435.728,45820.92887,46206.05076,46590.34381,46973.77722,47357.6335,47739.69737,48125.25694,48509.35268,48895.82127
03_CDA,Millions,963084.899,943002.654,951490.6812,976798.2565,1020714.314,1048214.121,1065191.239,1110793.011,1154059.477,1213635.679,1276458.583,1299308.71,1338552.738,1362637.612,1404705.984,1449722.637,1487899.881,1518757.091,1533977.39,1489109.484,1535109.763,1583400.782,1611312.396,1648832.469,1696136.472,1707333.942,1724414.388,1776872.574,1826195.368,1860513.934,1763175.453,1843217.965,1903976.306,1931584.479,1962551.928,2008100.912,2046140.178,2080965.53,2118483.538,2152459.48,2182689.606,2209370.592,2241195.247,2269050.359,2302067.671,2330934.636,2365041.973,2394917.228,2430258.326,2461195.667,2497685,2529651.914,2567029.491,2599722.689,2638172.802,2671854.707,2711498.364,2746246.043,2787108.086,2822927.502,2865083.999,2902073.83,2945505.53,2983784.699,3028814.745,3068490.137,3115095.428,3156309.487,3204747.359,3247633.574,3297929.983,3342551.819,3394979.26,3441482.229,3495891.613,3544302.921,3600871.299,3651199.132,3709818.9,3761937.587,3822536.575
04_CHL,Millions,125487.1433,135234.0321,150289.3738,160353.5083,168476.1691,183424.7655,195380.0766,209801.3708,218637.995,217919.7871,228798.6518,236004.7248,243545.646,255032.571,272008.2177,287945.09,305394.2088,321205.7244,333448.8742,329640.5201,348901.2943,370650.2555,393524.8947,406624.447,413935.8319,422821.688,430127.8871,435728.3367,452924.9672,456817.0345,429097.3504,479376.1288,489101.4816,484434.4773,493967.4801,505499.0371,517579.0737,530679.8681,537980.6683,544405.3849,552242.6333,559294.5895,567793.7998,575605.8402,584701.0861,592706.312,601990.0216,610138.6626,619584.5429,627868.3632,637479.5349,645892.794,655678.9704,664234.5006,674239.4386,682981.6254,693201.2711,702150.1177,712638.0121,721826.1968,732590.4444,742008.6069,753043.0348,762706.7332,774053.4524,783968.6532,795612.5993,805812.369,817800.1531,828297.3403,840612.5912,851398.6717,864055.0284,875128.9867,888110.0043,899438.2952,912725.33,924308.3189,937894.6514,949724.021,963600.4364
05_PRC,Millions,1611146.336,1760972.892,2012400.208,2291703.971,2590282.095,2874407.236,3159582.185,3451761.546,3722930.621,4008862.713,4348501.633,4710253.113,5139571.519,5654624.607,6226555.188,6935716.659,7817251.994,8930969.071,9787653.482,10712151.61,11848817.12,12980470.73,13999136.88,15086962.11,16202090.43,17339219.43,18527031.39,19814062.7,21151673.47,22410401.44,22913200.33,24764488.36,25558298.31,26693372.07,27894056.24,29186368.23,30529612.52,31942404.4,32871052.34,33870638.82,34943580.9,35954316.55,37042465.9,38051469.6,39140565.09,40156289.23,41256255.38,42279086.92,43390801.07,44421557.24,45544216.89,46579840.55,47711160.66,48750621.05,49887231.47,50925941.55,52063569.31,53094913.45,54227563.9,55245611.23,56365070.45,57361739.75,58460067.8,59428422.98,60500264.77,61434564.8,62473324.61,63367978.98,64370383.81,65226420.75,66193843.79,67011219.69,67946759.82,68729636.78,69636542.87,70389929.19,71271065.89,71996183.9,72854079.29,73551994.16,74386123.5
06_HKC,Millions,164276.4298,173634.5626,184482.6394,195909.3151,207724.3242,212665.7346,221735.9044,233040.1648,219307.6419,224832.3126,242065.7966,243394.2861,247444.9663,254992.5187,277197.4913,297672.9101,318583.9063,339175.0227,346417.4249,337874.6884,360756.4842,378157.7214,384560.5795,396493.3016,407446.1237,417186.5977,426238.9386,442437.4044,455039.2454,447414.3623,418120.1956,444618.0355,440846.4147,458222.6355,471834.9686,485446.0105,499351.5565,513351.6703,520592.4834,526956.091,533497.268,540221.3094,547107.5073,554172.8103,561416.8067,568850.9121,576487.3522,584313.6098,592353.307,600595.0728,608960.4152,617447.4957,626038.4779,634748.6826,643582.5189,652539.2701,661608.2886,670797.6102,680092.7513,689504.1913,699010.6384,708616.3215,718293.1558,728032.6854,737833.4121,747701.556,757624.0529,767598.8157,777661.782,787796.6363,798021.7707,808335.9642,818769.8567,829336.8796,840019.7669,850868.7373,861857.5844,873009.4944,884300.1326,895739.3957,907351.2556
07_INA,Millions,783247.6408,853177.8363,908828.6215,981130.1095,1055112.003,1141842.722,1231109.517,1288974.925,1119770.36,1128628.159,1184823.288,1227989.011,1283244.488,1344587.786,1412231.916,1492623.25,1574730.112,1674652.19,1799275.703,1883870.406,2004012.295,2127662.309,2255956.417,2381327.598,2500553.876,2622488.789,2754484.578,2894130.893,3043880.61,3196658.222,3130645.691,3246212.679,3419309.178,3589201.593,3782461.533,3984352.598,4191800.202,4406276.78,4510090.646,4616959.739,4726793.734,4839793.906,4955955.528,5075278.307,5197950.582,5323882.373,5453361.044,5586394.116,5722864.653,5862939.762,6006529.847,6153677.285,6304431.866,6458885.784,6617089.376,6778674.108,6944001.779,7113244.812,7286191.525,7462797.034,7643388.656,7827756.142,8016177.909,8208730.96,8405317.672,8606123.684,8811329.062,9021091.326,9235459.705,9454679.958,9678677.524,9907657.346,10141715.21,10381018.6,10625751.4,10875899.55,11131344.97,11392299.28,11659237.39,11931759.15,12210006.61
08_JPN,Millions,4062118.688,4200939.847,4236579.266,4214648.252,4251531.764,4363391.609,4500139.523,4544304.45,4486586.025,4471590.835,4595203.815,4612946.48,4614880.27,4685723.658,4788158.806,4874547.47,4941433.726,5014757.369,4953365.495,4671385.732,4862785.972,4863963.158,4930832.511,5029708.253,5044609.741,5123338.819,5161935.871,5248418.777,5282166.825,5263312.199,5020214.772,5103395.756,5192438.552,5276201.406,5346969.953,5396805.182,5422201.101,5444640.897,5511423.557,5567146.882,5634052.211,5689603.289,5756577.804,5811942.597,5878964.264,5934165.887,6001143.185,6055946.702,6122861.182,6177463.844,6244554.349,6299209.125,6366677.093,6421456.348,6489188.047,6544149.372,6612527.422,6667916.035,6737054.193,6792956.996,6862941.424,6919447.648,6990225.989,7047244.723,7118596.815,7175537.93,7246802.49,7303413.008,7374476.363,7430492.372,7501106.952,7556316.054,7626503.009,7681079.365,7750834.082,7804688.384,7874204.101,7927872.524,7997589.686,8051710.517,8122332.777
09_ROK,Millions,543145.5144,601694.0371,638987.2253,682938.2638,746238.7969,817978.4523,882528.5295,936987.3547,888926.5603,990855.5231,1080625.075,1133060.083,1220601.532,1259001.658,1324459.698,1381523.218,1454228.886,1538588.689,1584943.504,1597503.266,1706201.207,1769102.619,1811598.022,1868928.493,1928788.931,1982959.172,2041400.436,2105896.957,2167117.317,2215757.342,2200020.92,2291218.263,2350488.93,2398521.228,2463754.541,2527748.278,2590751.065,2651362.131,2697874.636,2749649.862,2806702.389,2857814.383,2914231.308,2964345.6,3019822.799,3068565.384,3122673.414,3169808.155,3222521.033,3268009.122,3319252.641,3363041.654,3412738.871,3454840.766,3502994.149,3543143.772,3589408.029,3627342.025,3671313.269,3706539.829,3747797.73,3780087.01,3818553.464,3847966.407,3883650.461,3910150.486,3943213.95,3967691.474,3999625.879,4022977.117,4053937.773,4076408.445,4106830.501,4128662.105,4158563.723,4179759.597,4209130.625,4229711.044,4258602.949,4278709.517,4307271.397
10_MAS,Millions,186735.6862,204566.5476,222752.7574,244795.6566,267341.5433,293619.0449,322989.8658,346645.2022,321147.7329,340837.3393,370383.6382,372292.9125,392368.5305,415083.42,443235.5862,465294.3538,491285.3338,522222.149,547456.764,539169.3452,579766.0513,610447.31,643860.984,674088.5406,714583.3826,750348.8818,783753.2284,829307.3165,869453.138,907832.3867,857588.7229,884100.744,931838.5565,972654.1439,1020481.233,1065586.177,1112842.787,1156695.021,1180321.685,1209561.013,1234818.555,1265933.816,1292922.597,1325998.068,1354676.396,1389699.895,1420123.803,1457206.786,1489463.169,1528687.124,1562862.893,1604355.562,1640562.588,1684045.112,1721606.557,1766841.15,1805796.696,1852784.84,1893170.739,1941958.812,1983820.589,2034429.163,2077722.911,2130140.21,2174861.571,2229101.895,2275267.773,2331311.044,2378837.521,2436643.506,2485513.783,2545087.872,2595261.314,2656583.757,2708028.914,2771027.284,2823671.456,2888275.475,2942053.29,3008236.97,3063086.514
11_MEX,Millions,1251128.973,1303858.134,1350019.89,1386984.546,1455518.408,1363945.854,1456331.218,1556048.172,1636393.847,1681458.921,1764552.002,1757416.352,1756721.078,1782121.679,1851992.718,1894733.932,1979904.007,2025282.104,2048431.185,1940158.195,2039470.658,2114162.573,2191181.849,2220847.849,2284127.149,2359359.456,2421414.834,2472591.207,2526863.136,2521836.278,2318632.49,2429517.788,2481402.307,2509943.037,2554684.895,2609359.926,2664420.977,2720000.592,2761752.501,2799205.463,2832325.522,2872436.78,2908111.286,2950956.998,2989050.586,3034524.454,3075034.899,3123011.91,3165900.984,3216301.415,3261335.454,3314105.449,3361306.118,3416414.191,3465623.996,3522918.371,3574191.762,3633706.234,3686972.238,3748492.657,3803512.76,3867228.086,3924160.673,3989142.02,4046271.119,4111616.863,4168825.496,4234483.738,4291748.664,4357744.82,4415045.403,4481370.027,4538695.907,4605222.538,4662497.488,4729188.561,4786320.177,4852875.062,4909670.605,4976355.142,5032932.21
12_NZ,Millions,91405.35742,90196.90488,90825.90471,95586.12964,100913.4837,105853.8754,110162.7084,112856.6501,113222.0556,118356.1787,123391.5778,126575.9959,132534.359,138167.7712,144755.9566,149331.0658,153664.9555,158985.6276,158700.4287,156787.0238,159555.1232,162450.3347,166500.6055,170293.0622,176699.0944,183185.9665,190453.3562,197109.4883,203871.5819,209737.6855,205360.5245,216797.0062,221822.5437,226055.3196,230620.122,235650.3435,241077.6301,246746.1338,251601.9059,256078.4156,260163.5538,264901.5617,269238.7034,274344.6795,279035.1001,284419.542,289374.3308,295056.9257,300293.7207,306284.5961,311820.4348,318140.0617,323983.7386,330637.2549,336791.815,343782.8292,350251.2374,357584.7277,364378.3228,372068.384,379206.9695,387300.0274,394815.5748,403236.7717,410980.5639,419670.014,427654.4189,436633.0345,444886.4616,454171.0699,462692.0246,472294.5558,481110.7815,491046.2306,500147.7765,510402.8061,519790.1435,530368.5434,540019.3917,550907.9374,560845.0784
13_PNG,Millions,9358.5474,10255.3425,11673.31019,13227.53664,14615.45694,14113.3384,15045.3392,14091.08409,14750.51757,15023.85702,14648.9715,14630.65416,14606.95352,15930.5187,16021.78134,16702.06053,17124.80389,18465.0468,18409.05952,19662.75393,21654.489,21892.06926,22913.26557,23789.55237,27011.8212,28787.8536,30368.31105,31443.2003,31354.91546,32756.99451,31613.88306,31995.11556,33214.74413,34893.39762,35926.64196,36992.70795,38100.20502,39255.27984,41043.50438,42948.81662,44976.53185,47133.11005,49335.44399,51583.56794,53875.66708,56212.94753,58596.76417,61027.79425,63506.52952,66033.29905,68606.23018,71229.54197,73900.60443,76618.87223,79389.29242,82200.90087,85068.54962,87986.87954,90955.13097,93973.56129,97040.17652,100158.4548,103326.1874,106545.7544,109816.996,113137.692,116505.8894,119924.98,123401.357,126927.2137,130501.565,134127.5951,137801.12,141527.2707,145306.2116,149145.7374,153036.8834,156977.9511,160978.4227,165032.1181,169142.3383
14_PE,Millions,118440.777,121066.1998,120409.9344,126725.2223,142323.4116,152869.4348,157150.0268,167329.8835,166671.5998,169167.8554,173726.4256,174798.7082,184326.3661,192002.2595,201526.4686,214195.8722,230315.1544,249938.9491,272748.4209,275737.5845,298714.0395,317616.882,337115.4599,356842.1365,365342.4933,377231.4058,392143.853,402016.4842,418002.1167,427337.8019,380274.4639,431803.5047,443478.0932,454996.3337,469577.4858,484105.2964,498625.2953,513607.4433,526355.3038,538376.543,551789.0119,564408.0309,578440.917,591608.621,606259.9949,619990.5347,635249.1424,649548.9015,665445.0407,680300.5032,696827.4905,712280.883,729447.5416,745456.4063,763270.4336,779859.6038,798310.3324,815492.9979,834592.6772,852321.7897,872049.3596,890329.0555,910683.4754,929511.9512,950492.7099,969887.9147,991503.4574,1011439.001,1033730.268,1054207.359,1077075.443,1098052.991,1121547.469,1143081.786,1167199.789,1189255.589,1213981.045,1236573.417,1261904.42,1284988.412,1310915.781
15_RP,Millions,260546.5324,259409.4932,260492.8176,266177.0404,277818.4548,290667.9331,307702.521,323660.6775,321996.7008,332772.3372,347356.1475,357948.2767,371250.3554,390135.6918,415764.0165,436313.1345,459509.655,489466.6962,510730.979,518127.9684,556130.5574,577587.611,617423.5375,659102.6442,700941.8972,745440.2232,798735.3578,854095.0385,908258.4192,963830.0589,872089.5798,921826.306,981453.6009,1030708.247,1092746.773,1158005.508,1227199.217,1300556.23,1352381.014,1408133.666,1462417.593,1520852.658,1577638.621,1638797.615,1698016.497,1761903.745,1823665.78,1890301.875,1954607.547,2024192.427,2091100.04,2163535.259,2233032.347,2308323.502,2380566.531,2458979.4,2533993.747,2615591.392,2693512.802,2778262.797,2859051.179,2947071.635,3030888.979,3122212.264,3208979.087,3303673.17,3393366.642,3491405.257,3584123.245,3685497.059,3781251.734,3886115.128,3984957.118,4093497.731,4195568.259,4307547.369,4412755.589,4528272.179,4636411.97,4755586.594,4866969.317
16_RUS,Millions,3162768.725,3004630.438,2568958.234,2345459.164,2047585.452,1963634.041,1892787.001,1918946.279,1816370.334,1931737.17,2125791.268,2234005.144,2339992.942,2511957.183,2692209.248,2863863.39,3097372.701,3361736.812,3538147.628,3261434.419,3408313.161,3580983.514,3725083.949,3790474.211,3818381.945,3743056.786,3750306.365,3818780.122,3925982.231,4012279.084,3905402.625,4090890.123,3951447.939,3861354.296,3919272.011,3958484.829,3990150.89,4018062.511,4089171.695,4152203.566,4206789.398,4261338.109,4315880.205,4370477.114,4425230.193,4480144.076,4535331.607,4590857.273,4646745.374,4703040.273,4759633.292,4816685.213,4874208.676,4932266.23,4990793.732,5049608.92,5108653.536,5167944.355,5227472.444,5286962.183,5346344.916,5405737.36,5464901.063,5523903.377,5582804.54,5641584.751,5700199.26,5758750.971,5817190.939,5875685.786,5934205.221,5992801.643,6051582.772,6110522.923,6169843.44,6229443.606,6289328.089,6349636.696,6410411.409,6471986.173,6533975.623
17_SIN,Millions,113621.8683,121223.3963,129287.9157,144069.88,160075.9389,171588.5048,184397.5605,199714.3548,195329.9618,206525.2732,225182.2384,222763.9747,231507.2506,242044.1354,266113.454,285709.1643,311399.0924,339549.8387,345818.7963,346319.2841,396590.9212,421241.9386,439863.4003,461078.5413,479263.0208,493504.6406,511056.1827,534881.572,554522.1174,560608.0002,537359.069,578299.7824,595754.8867,609180.3245,625153.0144,640630.5301,656779.5427,673140.394,688079.4142,704367.8495,721989.0123,740979.456,758412.525,777233.5184,794385.6294,812953.3607,829750.1226,848022.8202,864413.4225,882324.6177,898275.0253,915820.3582,931292.4924,948402.2861,963406.0454,980124.3828,994664.3699,1010992.277,1025100.23,1041055.433,1054732.086,1070324.966,1083592.537,1098859.494,1111733.943,1126681.092,1139229.253,1153909.159,1166310.836,1181111.675,1193592.851,1208531.893,1221154.701,1236274.844,1248998.123,1264299.46,1277137.254,1292642.372,1305647.717,1321376.785,1334560.393
18_CT,Millions,325305.5736,352547.4358,381848.8424,407852.2292,438464.4411,466945.8173,495787.4775,525804.2287,547919.0904,584783.8559,621729.4613,613018.5254,646614.394,673938.0104,720769.631,759562.7985,803424.2261,858432.2204,865304.2755,851357.008,938568.0162,973060.1475,994680.6118,1019398.108,1067495.095,1083127.085,1106589.977,1143213.535,1175086.743,1211081.259,1251756.112,1333999.329,1378187.942,1417360.45,1447557.518,1476631.028,1506207.551,1536380.833,1582751.435,1631329.573,1682203.183,1735456.097,1791161.081,1842486.51,1896440.23,1945729.953,1997814.429,2044918.919,2095020.296,2139916.773,2187963.712,2230617.465,2276577.643,2316956.037,2360889.543,2399142.663,2441158.375,2477304.556,2517459.068,2551585.622,2589869.247,2622098.012,2658707.367,2689132.794,2724142.75,2752878.974,2786298.989,2813328.407,2845177.018,2870526.301,2900842.145,2924570.971,2953452.705,2975646.182,3003116.922,3023876.904,3049986.581,3069244.558,3093994.791,3111798.735,3135131.504
