Economy,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01_AUS,GDP (constant 2015 US$),6.31E+11,6.28E+11,6.31E+11,6.57E+11,6.83E+11,7.09E+11,7.36E+11,7.65E+11,8.00E+11,8.40E+11,8.73E+11,8.90E+11,9.26E+11,9.55E+11,9.95E+11,1.03E+12,1.05E+12,1.09E+12,1.13E+12,1.15E+12,1.18E+12,1.21E+12,1.26E+12,1.29E+12,1.32E+12,1.35E+12,1.39E+12,1.42E+12,1.46E+12,1.49E+12,1.49E+12,1.51E+12
02_BD,GDP (constant 2015 US$),9094891762,9381011724,9827414751,9857346390,10167399107,10622767157,10928524149,10767746809,10707607990,11034421012,11348838216,11660254935,12111751313,12463471178,12526326738,12574867157,13127874565,13148167871,12893130934,12665627056,12994802365,13481499083,13604563824,13315326918,12981331573,12930394938,12609990391,12777527045,12784201743,13278836553,13429361906,13213747437
03_CDA,GDP (constant 2015 US$),,,,,,,,9.34E+11,9.60E+11,9.98E+11,1.05E+12,1.06E+12,1.10E+12,1.14E+12,1.18E+12,1.24E+12,1.30E+12,1.38E+12,1.40E+12,1.36E+12,1.40E+12,1.44E+12,1.47E+12,1.50E+12,1.55E+12,1.56E+12,1.57E+12,1.62E+12,1.66E+12,1.70E+12,1.61E+12,1.68E+12
04_CHL,GDP (constant 2015 US$),71802579088,77406333960,86050073040,91719726336,96333410155,1.05E+11,1.12E+11,1.20E+11,1.25E+11,1.25E+11,1.31E+11,1.35E+11,1.40E+11,1.46E+11,1.56E+11,1.65E+11,1.75E+11,1.84E+11,1.91E+11,1.89E+11,2.00E+11,2.13E+11,2.26E+11,2.33E+11,2.37E+11,2.42E+11,2.47E+11,2.50E+11,2.60E+11,2.62E+11,2.46E+11,2.75E+11
05_PRC,GDP (constant 2015 US$),1.03E+12,1.12E+12,1.28E+12,1.46E+12,1.65E+12,1.83E+12,2.01E+12,2.20E+12,2.37E+12,2.55E+12,2.77E+12,3.00E+12,3.28E+12,3.60E+12,3.97E+12,4.42E+12,4.98E+12,5.69E+12,6.24E+12,6.83E+12,7.55E+12,8.28E+12,8.93E+12,9.62E+12,1.03E+13,1.11E+13,1.18E+13,1.26E+13,1.35E+13,1.43E+13,1.46E+13,1.58E+13
06_HKC,GDP (constant 2015 US$),1.22E+11,1.29E+11,1.37E+11,1.45E+11,1.54E+11,1.58E+11,1.64E+11,1.73E+11,1.63E+11,1.67E+11,1.80E+11,1.81E+11,1.84E+11,1.89E+11,2.06E+11,2.21E+11,2.36E+11,2.52E+11,2.57E+11,2.51E+11,2.68E+11,2.80E+11,2.85E+11,2.94E+11,3.02E+11,3.09E+11,3.16E+11,3.28E+11,3.37E+11,3.32E+11,3.10E+11,3.30E+11
07_INA,GDP (constant 2015 US$),2.70E+11,2.89E+11,3.07E+11,3.27E+11,3.52E+11,3.81E+11,4.11E+11,4.30E+11,3.74E+11,3.76E+11,3.95E+11,4.09E+11,4.28E+11,4.48E+11,4.71E+11,4.98E+11,5.25E+11,5.58E+11,5.92E+11,6.19E+11,6.58E+11,6.98E+11,7.41E+11,7.82E+11,8.21E+11,8.61E+11,9.04E+11,9.50E+11,9.99E+11,1.05E+12,1.03E+12,1.07E+12
08_JPN,GDP (constant 2015 US$),3.51E+12,3.63E+12,3.67E+12,3.65E+12,3.69E+12,3.79E+12,3.90E+12,3.94E+12,3.89E+12,3.88E+12,3.99E+12,4.00E+12,4.00E+12,4.07E+12,4.15E+12,4.23E+12,4.29E+12,4.35E+12,4.30E+12,4.05E+12,4.22E+12,4.22E+12,4.28E+12,4.36E+12,4.38E+12,4.44E+12,4.48E+12,4.55E+12,4.58E+12,4.57E+12,4.36E+12,4.43E+12
09_ROK,GDP (constant 2015 US$),4.01E+11,4.45E+11,4.72E+11,5.05E+11,5.52E+11,6.05E+11,6.52E+11,6.93E+11,6.57E+11,7.32E+11,7.99E+11,8.38E+11,9.02E+11,9.31E+11,9.79E+11,1.02E+12,1.07E+12,1.14E+12,1.17E+12,1.18E+12,1.26E+12,1.31E+12,1.34E+12,1.38E+12,1.43E+12,1.47E+12,1.51E+12,1.56E+12,1.60E+12,1.64E+12,1.62E+12,1.69E+12
10_MAS,GDP (constant 2015 US$),74627439030,81750976904,89014647651,97822596595,1.07E+11,1.17E+11,1.29E+11,1.39E+11,1.28E+11,1.36E+11,1.48E+11,1.49E+11,1.57E+11,1.66E+11,1.77E+11,1.87E+11,1.97E+11,2.10E+11,2.20E+11,2.17E+11,2.33E+11,2.45E+11,2.58E+11,2.71E+11,2.87E+11,3.01E+11,3.15E+11,3.33E+11,3.49E+11,3.65E+11,3.44E+11,3.55E+11
11_MEX,GDP (constant 2015 US$),6.26E+11,6.53E+11,6.76E+11,6.89E+11,7.23E+11,6.77E+11,7.23E+11,7.73E+11,8.13E+11,8.35E+11,8.76E+11,8.73E+11,8.73E+11,8.85E+11,9.20E+11,9.41E+11,9.83E+11,1.01E+12,1.02E+12,9.64E+11,1.01E+12,1.05E+12,1.09E+12,1.10E+12,1.13E+12,1.17E+12,1.20E+12,1.23E+12,1.26E+12,1.25E+12,1.15E+12,1.21E+12
12_NZ,GDP (constant 2015 US$),87903486462,86944908384,87896461235,93514446905,98301092418,1.03E+11,1.07E+11,1.09E+11,1.10E+11,1.16E+11,1.19E+11,1.23E+11,1.29E+11,1.35E+11,1.40E+11,1.45E+11,1.49E+11,1.54E+11,1.52E+11,1.52E+11,1.54E+11,1.57E+11,1.61E+11,1.65E+11,1.72E+11,1.78E+11,1.85E+11,1.91E+11,1.98E+11,2.02E+11,2.00E+11,2.09E+11
13_PNG,GDP (constant 2015 US$),7373369425,8077297462,9195929275,10869798617,11515693906,11134242444,11995330884,11526986425,11092521256,11298348978,11016473023,11003111296,10985627294,11223367529,11528775084,12260252335,12923525132,13933523076,13892216053,14836945298,16339698489,16520667778,17290055034,17951390360,20382685493,21723531173,22916060308,23726053855,23659798307,24719859156,23854664089,24212484050
14_PE,GDP (constant 2015 US$),59593009486,60915532774,60586278761,63763166944,71611371022,76918772627,79071708366,84193044083,83863396696,85117079539,87410449785,87950552246,92746961064,96609893451,1.01E+11,1.08E+11,1.16E+11,1.26E+11,1.37E+11,1.39E+11,1.50E+11,1.60E+11,1.70E+11,1.80E+11,1.84E+11,1.90E+11,1.97E+11,2.02E+11,2.10E+11,2.15E+11,1.91E+11,2.17E+11
15_RP,GDP (constant 2015 US$),1.07E+11,1.07E+11,1.07E+11,1.09E+11,1.14E+11,1.19E+11,1.26E+11,1.33E+11,1.32E+11,1.37E+11,1.43E+11,1.47E+11,1.53E+11,1.60E+11,1.71E+11,1.79E+11,1.89E+11,2.01E+11,2.10E+11,2.13E+11,2.29E+11,2.37E+11,2.54E+11,2.71E+11,2.88E+11,3.06E+11,3.28E+11,3.51E+11,3.73E+11,3.96E+11,3.59E+11,3.79E+11
16_RUS,GDP (constant 2015 US$),1.16E+12,1.10E+12,9.43E+11,8.61E+11,7.53E+11,7.21E+11,6.94E+11,7.04E+11,6.67E+11,7.09E+11,7.80E+11,8.20E+11,8.59E+11,9.21E+11,9.88E+11,1.05E+12,1.14E+12,1.23E+12,1.30E+12,1.20E+12,1.25E+12,1.30E+12,1.36E+12,1.38E+12,1.39E+12,1.36E+12,1.37E+12,1.39E+12,1.43E+12,1.46E+12,1.42E+12,1.49E+12
17_SIN,GDP (constant 2015 US$),70916278731,75659441373,80683081175,89929080594,99907331976,1.07E+11,1.15E+11,1.25E+11,1.22E+11,1.29E+11,1.41E+11,1.39E+11,1.44E+11,1.51E+11,1.66E+11,1.78E+11,1.94E+11,2.12E+11,2.16E+11,2.16E+11,2.48E+11,2.63E+11,2.75E+11,2.88E+11,2.99E+11,3.08E+11,3.19E+11,3.34E+11,3.46E+11,3.50E+11,3.35E+11,3.61E+11
18_CT,GDP (constant 2015 US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_THA,GDP (constant 2015 US$),1.44E+11,1.56E+11,1.69E+11,1.83E+11,1.98E+11,2.14E+11,2.26E+11,2.19E+11,2.03E+11,2.12E+11,2.21E+11,2.29E+11,2.43E+11,2.61E+11,2.77E+11,2.89E+11,3.03E+11,3.19E+11,3.25E+11,3.23E+11,3.47E+11,3.50E+11,3.75E+11,3.85E+11,3.89E+11,4.01E+11,4.15E+11,4.32E+11,4.51E+11,4.60E+11,4.32E+11,4.39E+11
20_USA,GDP (constant 2015 US$),9.81E+12,9.80E+12,1.01E+13,1.04E+13,1.08E+13,1.11E+13,1.16E+13,1.21E+13,1.26E+13,1.32E+13,1.38E+13,1.39E+13,1.41E+13,1.45E+13,1.51E+13,1.56E+13,1.60E+13,1.64E+13,1.64E+13,1.60E+13,1.64E+13,1.66E+13,1.70E+13,1.73E+13,1.77E+13,1.82E+13,1.85E+13,1.89E+13,1.95E+13,1.99E+13,1.92E+13,2.03E+13
21_VN,GDP (constant 2015 US$),45062311620,47748405689,51876755506,56064626251,61020167887,66841784907,73084819311,79042755278,83599139703,87589817268,93534815308,99327326629,1.06E+11,1.13E+11,1.21E+11,1.31E+11,1.40E+11,1.50E+11,1.58E+11,1.67E+11,1.77E+11,1.89E+11,1.99E+11,2.10E+11,2.24E+11,2.39E+11,2.55E+11,2.73E+11,2.93E+11,3.14E+11,3.23E+11,3.31E+11
