Economy,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01_AUS,"GNI per capita, Atlas method (current US$)",17330,18220,18540,18900,18860,19290,20480,21930,21780,21440,21130,20160,20030,21170,25570,30390,34150,37340,42360,44050,46690,50380,60260,66050,65180,60490,54090,51480,53070,54910,53680,0
02_BD,"GNI per capita, Atlas method (current US$)",12460,13580,15160,15030,15090,15680,16210,16220,14420,14040,14680,16070,17140,17800,19990,23090,27580,30930,34150,32460,33300,35520,42370,45320,43090,38850,33170,29800,29390,32230,31510,0
03_CDA,"GNI per capita, Atlas method (current US$)",32265.057,31151.34,30860.227,31256.541,32194.408,33083.656,33501.508,34544.133,34953.188,36659.402,39187.816,39215.066,39652.79,40744.98,42348.348,43853.09,44888.06,45839.734,46460.707,43109.914,44528.555,45969.254,46117.1,46909.9,47500.43,46417.51,46340.418,47702.715,48156.12,48454.7,45000.223,48880.203
04_CHL,"GNI per capita, Atlas method (current US$)",2350,2600,3120,3440,3730,4420,5080,5620,5520,5160,5080,4830,4570,4620,5260,6260,7420,8770,10030,9950,10790,11930,14270,15180,14770,14130,13340,13260,14580,14900,13120,0
05_PRC,"GNI per capita, Atlas method (current US$)",330,350,390,420,470,540,650,750,800,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3680,4340,5040,5910,6740,7470,7890,8210,8670,9540,10310,10530,0
06_HKC,"GNI per capita, Atlas method (current US$)",12660,14320,16560,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36340,38570,40240,41180,42970,46380,50050,50480,48560,0
07_INA,"GNI per capita, Atlas method (current US$)",560,610,660,740,850,990,1090,1100,660,570,580,720,790,900,1080,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3840,4050,3870,0
08_JPN,"GNI per capita, Atlas method (current US$)",27820,28600,30560,33370,37150,42570,43940,40760,35010,34320,36810,37380,35360,35660,39000,41280,40590,39310,39380,39230,43910,47470,50060,48850,44440,39380,38460,38930,41770,42010,40810,0
09_ROK,"GNI per capita, Atlas method (current US$)",6450,7570,8310,9010,10090,11820,13320,13550,10330,10430,11030,11950,12850,13790,16200,18520,20800,23440,23860,22040,22290,23590,25660,26980,28160,28720,29330,30300,32750,33830,32930,0
10_MAS,"GNI per capita, Atlas method (current US$)",2400,2560,2880,3230,3600,4050,4500,4620,3640,3380,3460,3550,3790,4160,4740,5270,5840,6630,7510,7600,8260,9050,10180,10840,11140,10680,10150,9950,10650,11260,10570,0
11_MEX,"GNI per capita, Atlas method (current US$)",2790,3250,3770,4490,5310,4790,4620,4660,5000,5510,6210,6740,7100,7360,7820,8050,8690,9250,9780,8820,9040,9310,10050,10270,10500,10160,9390,8920,9180,9470,8530,0
12_NZ,"GNI per capita, Atlas method (current US$)",13640,12160,12050,12360,13400,15280,16730,17160,15790,15040,14080,13810,14170,16960,21500,25440,26400,28150,28630,29690,29680,32230,36700,39930,41680,40660,39440,38870,41650,43050,41480,0
13_PNG,"GNI per capita, Atlas method (current US$)",740,790,840,980,1030,950,930,850,720,630,570,510,480,470,540,650,790,1070,1400,1510,1740,1820,2270,2500,2990,2860,2710,2590,2600,2720,2720,0
14_PE,"GNI per capita, Atlas method (current US$)",840,1220,1420,1550,1760,1950,2150,2280,2150,2030,1970,1900,1960,2080,2280,2540,2810,3210,3790,3970,4410,4970,5790,6420,6530,6340,6110,6060,6480,6840,6060,0
15_RP,"GNI per capita, Atlas method (current US$)",830,830,880,930,1050,1160,1320,1390,1310,1250,1180,1170,1130,1170,1290,1380,1490,1720,2010,2170,2370,2520,2860,3160,3330,3380,3450,3530,3710,3850,3430,0
16_RUS,"GNI per capita, Atlas method (current US$)",,3440,3090,2920,2650,2640,2600,2650,2130,1750,1710,1780,2100,2590,3410,4450,5810,7560,9580,9230,9980,11060,13490,15190,14630,11780,9730,9210,10250,11280,10740,0
17_SIN,"GNI per capita, Atlas method (current US$)",11450,12970,15270,17710,20780,23630,25610,27730,24010,23360,23680,22130,22000,23440,26170,28830,32550,36010,37230,37320,44930,48250,51710,54460,56380,53160,53250,54590,56670,58060,55010,0
18_CT,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_THA,"GNI per capita, Atlas method (current US$)",1540,1710,1960,2130,2400,2740,2950,2680,2080,1980,1980,1960,1990,2180,2530,2790,3100,3530,3970,4140,4580,4950,5520,5720,5760,5710,5700,5970,6610,7250,7070,0
20_USA,"GNI per capita, Atlas method (current US$)",24060,24270,25680,26390,27650,29040,30270,31270,32030,33680,35960,36700,37310,39750,43510,46180,47830,48500,49100,47870,49150,50620,52790,53990,55800,56620,57140,59250,63490,65970,64140,0
21_VN,"GNI per capita, Atlas method (current US$)",130,110,130,160,190,250,300,330,340,350,380,400,420,460,530,630,720,840,980,1110,1360,1610,1970,2190,2380,2460,2570,2700,3030,3280,3390,0
