Economy,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
01_AUS,Thousands,16928.886,17167.12,17375.051,17549.957,17713.064,17897.944,18108.054,18315.637,18504.864,18698.47,18903.313,19132.613,19363.672,19588.016,19809.982,20040.13,20303.331,20630.729,21030.927,21464.819,21856.965,22181.372,22532.696,22925.842,23297.721,23641.438,23999.035,24392.368,24788.299,25170.161,25544.179,25795.922,26046.256,26355.407,26663.519,26970.371,27275.18,27577.096,27904.745,28228.503,28547.003,28860.533,29168.914,29489.997,29806.488,30119.369,30427.329,30731.504,31033.118,31330.92,31626.131,31918.865,32209.391,32499.406,32788.293,33076.075,33362.399,33647.314,33930.862,34212.704,34493.621,34773.954,35054.608,35337.28,35623.214,35911.38,36201.714,36495.157,36794.226,37095.385,37400.332,37708.092,38020.465,38334.758,38652.072,38971.123,39292.786,39615.375,39938.106,40263.435,40589.824
02_BD,Thousands,257.882,265.973,273.747,281.084,288.342,295.529,302.665,309.727,316.703,323.602,330.487,337.366,344.131,350.795,357.294,363.627,369.808,375.808,381.689,387.447,393.175,398.93,404.082,409.186,414.219,419.093,423.78,428.208,432.345,436.204,439.893,443.557,447.189,450.814,454.233,457.484,460.606,463.601,466.496,469.291,472.008,474.615,477.121,479.522,481.788,483.918,485.917,487.771,489.451,490.999,492.386,493.626,494.756,495.742,496.602,497.3,497.844,498.234,498.471,498.57,498.487,498.26,497.863,497.329,496.638,495.809,494.834,493.731,492.498,491.164,489.731,488.205,486.601,484.925,483.168,481.334,479.449,477.479,475.516,473.479,471.434
03_CDA,Thousands,27467.238,27847.171,28184.35,28510.931,28825.402,29136.975,29441.87,29745.828,30019.676,30269.948,30529.607,30837.018,31168.507,31476.289,31762.611,32060.726,32371.106,32692.628,33032.289,33404.792,33783.042,34143.783,34503.279,34880.478,35246.904,35562.312,35901.94,36325.124,36783.571,37286.937,37758.232,38019.178,38290.846,38681.73,39073.027,39462.299,39851.66,40237.476,40657.625,41077.132,41492.279,41911.122,42326.982,42762.979,43192.627,43613.864,44027.459,44434.066,44836.094,45229.917,45617.966,45998.516,46365.622,46725.145,47077.85,47425.108,47767.785,48106.04,48440.565,48771.854,49102.723,49432.738,49762.551,50097.986,50438.67,50785.073,51137.629,51499.872,51871.182,52251.989,52641.113,53040.256,53451.985,53870.27,54296.609,54731.274,55173.062,55620.367,56070.944,56524.374,56978.877
04_CHL,Thousands,13234.942,13450.794,13673.097,13891.497,14105.275,14316.073,14517.519,14713.446,14905.132,15088.352,15264.469,15439.128,15608.829,15778.751,15939.472,16096.459,16254.163,16414.986,16576.091,16746.832,16920.062,17088.262,17258.884,17424.658,17595.191,17779.025,17961.223,18206.536,18530.618,18872.283,19206.688,19393.941,19592.428,19652.37,19718.268,19783.898,19853.117,19927.604,20027.503,20130.561,20242.799,20364.686,20494.997,20641.589,20783.658,20919.292,21048.319,21170.58,21285.661,21394.805,21496.859,21593.329,21683.641,21768.904,21850.518,21927.577,22000.69,22071.041,22138.808,22204.393,22267.329,22327.802,22385.694,22441.988,22496.968,22549.41,22600.689,22650.878,22700.551,22748.937,22796.024,22842.087,22887.05,22930.635,22972.597,23012.208,23050.346,23086.086,23120.158,23151.785,23181.494
05_PRC,Thousands,1143766.993,1163641.512,1177610.829,1190015.949,1201695.166,1212878.184,1223410.668,1233187.003,1242415.893,1251256.317,1259610.155,1268587.983,1276891.18,1284961.061,1292785.672,1300847.75,1308927.373,1317245.762,1325780.685,1334553.612,1343697.578,1352685.158,1361505.803,1371615.833,1380584.782,1389794.555,1397636.342,1406143.019,1414408.894,1419730.043,1423998.019,1425861.543,1425925.386,1423572.887,1420990.534,1418181.036,1415080.137,1411696.162,1406800.813,1401643.514,1396243.204,1390586.163,1384684.599,1377775.908,1370617.556,1363158.715,1355472.376,1347547.791,1339437.582,1331139.96,1322610.867,1313840.012,1304844.611,1295625.531,1286089.982,1276308.753,1266157.077,1255660.64,1244789.564,1233502.964,1221771.196,1209583.931,1196914.046,1183800.058,1170236.798,1156231.541,1141792.453,1126948.677,1111762.386,1096321.697,1080624.664,1064756.955,1048789.463,1032737.922,1016695.222,1000674.922,984701.868,968799.703,953006.165,937287.753,921699.256
06_HKC,Thousands,5795.976,5881.171,5965.723,6049.648,6129.968,6207.446,6280.272,6386.615,6495.857,6596.258,6687.671,6774.719,6828.364,6869.33,6903.583,6928.414,6945.335,6975.854,7027.057,7074.297,7114.893,7149.982,7200.747,7267.373,7326.28,7378.086,7421.591,7450.263,7472.774,7490.336,7501.907,7500.008,7489.149,7488.581,7494.636,7498.727,7500.855,7501.068,7499.349,7495.577,7489.771,7482.003,7471.755,7459.399,7444.905,7428.511,7410.462,7390.469,7369.023,7345.868,7321.213,7295.063,7267.118,7237.74,7207.061,7175.112,7141.747,7107.168,7071.173,7034.008,6995.371,6955.411,6913.75,6870.361,6825.334,6778.874,6730.887,6681.454,6631.195,6579.946,6528.037,6475.507,6422.811,6370.14,6317.282,6264.876,6212.578,6160.66,6108.819,6057.169,6005.968
07_INA,Thousands,180569.113,183750.635,186971.822,190145.01,193329.564,196527.503,199752.821,202994.76,206261.254,209449.717,212544.104,215600.739,218624.134,221606.049,224554.193,227322.996,230287.291,233307.563,236409.015,239464.072,242498.526,245533.82,248665.574,251779.816,254772.02,257687.503,260496.436,263203.928,265793.777,268339.908,270825.848,272890.093,274616.289,276386.389,278681.856,280914.242,283094.37,285207.994,287258.47,289262.793,291204.034,293096.166,294931.493,296703.432,298424.078,300078.269,301687.086,303244.288,304733.163,306163.389,307521.834,308807.785,310021.314,311166,312241.864,313216.764,314117.199,314953.081,315705.635,316370.045,316967.956,317482.47,317931.022,318316.258,318629.614,318881.121,319079.48,319231.17,319335.751,319403.947,319427.657,319414.753,319366.494,319287.675,319183.347,319048.267,318872.81,318663.86,318439.503,318176.777,317878.921
08_JPN,Thousands,123493.572,123879.07,124268.916,124620.47,124938.683,125299.854,125568.083,125884.363,126171.606,126445.174,126664.952,126942.77,127188.691,127414.81,127589.895,127752.682,127844.064,127960.27,128052.582,128102.684,128131.4,128079.462,127935.051,127772.324,127585.524,127367.946,127133.92,126853.795,126471.149,126040.583,125542.77,124946.751,124278.31,123625.074,122963.952,122298.912,121621.903,120943.073,120258.125,119566.35,118867.844,118161.759,117449.601,116730.564,116005.822,115276.333,114537.784,113792.127,113041.357,112287.775,111533.658,110780.745,110029.669,109279.611,108528.309,107782.781,107041.805,106306.901,105578.175,104855.062,104139.503,103429.211,102724.161,102023.321,101322.598,100616.826,99905.484,99190.471,98467.954,97739.841,97003.071,96259.843,95511.994,94759.89,94003.128,93242.407,92482.622,91725.483,90972.133,90230.855,89496.583
09_ROK,Thousands,43856.93,44383.147,44591.678,44815.74,45049.983,45281.577,45505.258,45815.077,46109.709,46390.809,46650.078,46927.104,47202.476,47438.86,47640.617,47813.954,47965.191,48133.503,48307.699,48489.554,48686.484,48939.6,49400.155,49868.215,50328.243,50787.842,51200.96,51419.008,51604.269,51749.531,51858.128,51831.253,51829.025,51802.594,51765.524,51718.401,51662.557,51599.078,51524.458,51440.001,51345.01,51235.418,51110.981,50969.746,50811.199,50632.249,50432.886,50215.352,49980.347,49728.587,49461.22,49178.728,48881.839,48573.225,48251.108,47914.095,47563.052,47196.137,46812.112,46409.67,45989.411,45552.336,45100.104,44634.915,44156.032,43666.539,43168.446,42664.033,42156.034,41645.174,41132.543,40621.469,40113.155,39606.884,39103.853,38603.016,38105.676,37611.079,37120.671,36634.711,36153.583
10_MAS,Thousands,17266.773,17767.336,18267.593,18785.823,19314.331,19863.075,20410.701,20967.4,21530.955,22090.129,22647.18,23243.12,23841.913,24442.977,25035.846,25630.648,26216.424,26802.402,27382.805,27945.786,28488.622,28946.84,29421.426,29898.997,30370.618,30842.299,31295.366,31757.47,32194.142,32604.401,33003.638,33396.348,33751.399,34125.044,34492.006,34851.785,35204.275,35549.609,35886.707,36214.616,36533.052,36842.086,37143.482,37433.849,37713.225,37981.103,38238.896,38486.646,38724.739,38953.252,39173.446,39385.473,39590.367,39786.073,39975.174,40157.626,40331.925,40500.037,40660.361,40814.803,40962.2,41102.666,41235.129,41360.465,41477.677,41587.813,41690.242,41784.152,41869.367,41945.826,42013.835,42073.194,42123.467,42165.51,42197.981,42221.33,42235.118,42238.87,42233.608,42218.237,42193.845
