Economy,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01_AUS,"Services, value added (constant 2015 US$)",3.86E+11,3.89E+11,3.99E+11,4.11E+11,4.33E+11,4.60E+11,4.76E+11,4.99E+11,5.20E+11,5.48E+11,5.71E+11,5.92E+11,6.15E+11,6.35E+11,6.61E+11,6.85E+11,7.06E+11,7.37E+11,7.62E+11,7.78E+11,7.94E+11,8.17E+11,8.44E+11,8.66E+11,8.85E+11,9.08E+11,9.39E+11,9.69E+11,9.97E+11,1.03E+12,1.04E+12,1.05E+12
02_BD,"Services, value added (constant 2015 US$)",2396072227,2377718025,2468986905,2535718399,2592181209,2666864177,2654448184,2851776073,2818221495,2871285942,2943400192,3123055777,3209496381,3262399659,3327513648,3464675426,3721282636,4065038528,4172532764,4259720754,4422114599,4640379576,4897573878,5126471297,5156888700,5098512910,5013302688,5067666016,5107287623,5283384623,5173333410,5299006591
03_CDA,"Services, value added (constant 2015 US$)",,,,,,,,6.43E+11,6.69E+11,7.01E+11,7.36E+11,7.55E+11,7.82E+11,7.99E+11,8.24E+11,8.51E+11,8.82E+11,9.07E+11,9.20E+11,9.14E+11,9.37E+11,9.63E+11,9.80E+11,1.00E+12,1.03E+12,1.04E+12,1.06E+12,1.09E+12,1.12E+12,1.15E+12,1.10E+12,1.15E+12
04_CHL,"Services, value added (constant 2015 US$)",37526045328,40789528214,45713038892,48377723795,50868740590,56001370279,50651416066,54793158509,57610214526,57538254208,61732925057,64729351891,69183583875,74082991082,80922417685,87506474573,94050335327,1.02E+11,1.07E+11,1.07E+11,1.15E+11,1.22E+11,1.30E+11,1.35E+11,1.38E+11,1.41E+11,1.45E+11,1.48E+11,1.53E+11,1.56E+11,1.44E+11,1.64E+11
05_PRC,"Services, value added (constant 2015 US$)",4.83E+11,5.28E+11,5.94E+11,6.66E+11,7.42E+11,8.17E+11,8.92E+11,9.85E+11,1.07E+12,1.17E+12,1.28E+12,1.41E+12,1.56E+12,1.71E+12,1.88E+12,2.12E+12,2.41E+12,2.80E+12,3.10E+12,3.39E+12,3.72E+12,4.07E+12,4.40E+12,4.77E+12,5.16E+12,5.62E+12,6.07E+12,6.57E+12,7.10E+12,7.61E+12,7.76E+12,8.39E+12
06_HKC,"Services, value added (constant 2015 US$)",,,,,,,,,,,1.52E+11,1.55E+11,1.60E+11,1.67E+11,1.83E+11,1.97E+11,2.10E+11,2.25E+11,2.31E+11,2.27E+11,2.42E+11,2.55E+11,2.60E+11,2.67E+11,2.73E+11,2.78E+11,2.84E+11,2.94E+11,3.03E+11,3.01E+11,2.81E+11,2.97E+11
07_INA,"Services, value added (constant 2015 US$)",98908780686,1.05E+11,1.12E+11,1.21E+11,1.30E+11,1.40E+11,1.49E+11,1.57E+11,1.32E+11,1.30E+11,1.37E+11,1.44E+11,1.51E+11,1.61E+11,1.72E+11,1.86E+11,1.99E+11,2.17E+11,2.36E+11,2.50E+11,2.71E+11,2.93E+11,3.13E+11,3.33E+11,3.54E+11,3.73E+11,3.94E+11,4.16E+11,4.40E+11,4.69E+11,4.62E+11,4.78E+11
08_JPN,"Services, value added (constant 2015 US$)",,,,,2.46E+12,2.53E+12,2.60E+12,2.66E+12,2.64E+12,2.66E+12,2.72E+12,2.77E+12,2.81E+12,2.86E+12,2.91E+12,2.96E+12,2.99E+12,3.03E+12,2.99E+12,2.91E+12,2.94E+12,2.96E+12,3.01E+12,3.07E+12,3.06E+12,3.10E+12,3.13E+12,3.16E+12,3.16E+12,3.15E+12,3.00E+12,
09_ROK,"Services, value added (constant 2015 US$)",2.15E+11,2.37E+11,2.56E+11,2.77E+11,3.03E+11,3.31E+11,3.57E+11,3.82E+11,3.73E+11,4.07E+11,4.38E+11,4.65E+11,5.05E+11,5.17E+11,5.34E+11,5.57E+11,5.85E+11,6.19E+11,6.42E+11,6.55E+11,6.89E+11,7.16E+11,7.40E+11,7.66E+11,7.90E+11,8.15E+11,8.38E+11,8.60E+11,8.93E+11,9.23E+11,9.14E+11,9.48E+11
10_MAS,"Services, value added (constant 2015 US$)",23589237053,27104682704,30596654257,36716684778,41596258866,44609204814,48759778671,53743972577,50275362182,53051912073,57026950762,59529742363,63977815389,66512347587,71266773806,77373029062,82708340776,98137825016,1.07E+11,1.09E+11,1.15E+11,1.23E+11,1.31E+11,1.39E+11,1.49E+11,1.57E+11,1.66E+11,1.76E+11,1.89E+11,2.00E+11,1.89E+11,1.92E+11
11_MEX,"Services, value added (constant 2015 US$)",3.42E+11,3.59E+11,3.73E+11,3.84E+11,4.02E+11,3.87E+11,4.03E+11,4.29E+11,4.50E+11,4.66E+11,4.92E+11,4.94E+11,4.98E+11,5.04E+11,5.24E+11,5.38E+11,5.62E+11,5.79E+11,5.93E+11,5.69E+11,6.01E+11,6.28E+11,6.53E+11,6.67E+11,6.86E+11,7.15E+11,7.40E+11,7.63E+11,7.85E+11,7.90E+11,7.30E+11,7.60E+11
12_NZ,"Services, value added (constant 2015 US$)",52786837288,52902476682,53839622727,56707342178,59308983769,62538358758,64520578811,66237544588,67708280828,71505141303,74283341760,77891842605,80691901184,84097547028,87889835597,91326838334,94991525654,98044303422,98353605886,98412004393,1.01E+11,1.04E+11,1.06E+11,1.09E+11,1.13E+11,1.17E+11,1.22E+11,1.27E+11,1.31E+11,1.35E+11,1.33E+11,
13_PNG,"Services, value added (constant 2015 US$)",,,,,,,,,,,,,,,,,5951831473,6748422973,6848023158,7023763872,7896730765,8630133590,9144207197,9534858385,9622010940,9402163885,9613971017,9747932927,10240272502,10492071212,,
14_PE,"Services, value added (constant 2015 US$)",,,,,37167593828,40159728067,41386080511,43743494499,43323385925,43756752363,44875798968,44570453782,46237630212,48400319319,50335967501,52749727412,57365121406,62656252170,67876950529,70259223013,76299837415,82165613732,88380237602,93538789723,97925071251,1.03E+11,1.07E+11,1.10E+11,1.14E+11,1.19E+11,1.06E+11,1.19E+11
15_RP,"Services, value added (constant 2015 US$)",53272022111,53426478725,53975029395,55328081352,57626068481,60371245173,64141226788,67543560972,69476267867,72648867667,75081191890,77972172931,80913233455,85207040989,92273838630,97147708860,1.03E+11,1.11E+11,1.16E+11,1.20E+11,1.29E+11,1.35E+11,1.45E+11,1.56E+11,1.67E+11,1.79E+11,1.94E+11,2.08E+11,2.22E+11,2.38E+11,2.17E+11,2.28E+11
16_RUS,"Services, value added (constant 2015 US$)",5.83E+11,5.68E+11,5.20E+11,4.19E+11,4.08E+11,3.67E+11,3.65E+11,3.71E+11,3.57E+11,3.65E+11,3.91E+11,4.05E+11,4.28E+11,4.60E+11,4.83E+11,5.22E+11,5.79E+11,6.58E+11,7.05E+11,6.68E+11,6.93E+11,7.19E+11,7.53E+11,7.70E+11,7.82E+11,7.65E+11,7.62E+11,7.77E+11,7.98E+11,8.17E+11,7.98E+11,8.38E+11
17_SIN,"Services, value added (constant 2015 US$)",46033068115,49229348201,52838922449,59442371714,65280800354,69348822482,75152854646,82217007301,79933300815,83872805329,90548229598,93668930583,97155788452,1.03E+11,1.13E+11,1.21E+11,1.30E+11,1.42E+11,1.49E+11,1.48E+11,1.65E+11,1.76E+11,1.86E+11,1.98E+11,2.07E+11,2.15E+11,2.22E+11,2.30E+11,2.38E+11,2.42E+11,2.31E+11,2.43E+11
18_CT,"Services, value added (constant 2015 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_THA,"Services, value added (constant 2015 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,2.21E+11,,,,,,
20_USA,"Services, value added (constant 2015 US$)",,,,,,,,9.12E+12,9.53E+12,9.96E+12,1.03E+13,1.06E+13,1.08E+13,1.10E+13,1.14E+13,1.19E+13,1.21E+13,1.24E+13,1.25E+13,1.23E+13,1.27E+13,1.29E+13,1.31E+13,1.33E+13,1.36E+13,1.40E+13,1.42E+13,1.45E+13,1.49E+13,1.53E+13,1.52E+13,
21_VN,"Services, value added (constant 2015 US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018 USD PPP,,,,5.23144E+11,5.6498E+11,6.10858E+11,6.45383E+11,6.27612E+11,5.797E+11,6.06205E+11,6.33213E+11,6.55023E+11,6.953E+11,7.45287E+11,7.92161E+11,8.25334E+11,8.66335E+11,9.13421E+11,9.29184E+11,9.22767E+11,9.92098E+11,1.00043E+12,1.07289E+12,1.10173E+12,1.11257E+12,1.14744E+12,1.18679E+12,1.23505E+12,1.28631E+12,1.3166E+12,1.23629E+12,1.26843E+12
,,,,,55.11931326,54.37725835,53.64075518,53.85529784,54.37049791,53.62904555,54.72810495,54.8307435,55.09970906,54.41339037,52.64047015,52.80658737,52.30043401,51.45115065,51.22094342,50.44795321,51.60436735,49.55609866,50.42680995,51.15220571,51.7791962,53.14803802,54.94809903,55.93515763,56.57482789,57.05569107,58.28601376,58.05946335,56.67736476
,,,,,2.88353E+11,3.07221E+11,3.27669E+11,3.47573E+11,3.41236E+11,3.10888E+11,3.31765E+11,3.47195E+11,3.60916E+11,3.78336E+11,3.92323E+11,4.18313E+11,4.31653E+11,4.45739E+11,4.67863E+11,4.68754E+11,4.76188E+11,4.91645E+11,5.04485E+11,5.48807E+11,5.70467E+11,5.91309E+11,6.30496E+11,6.63833E+11,6.98727E+11,7.33913E+11,7.67394E+11,7.17783E+11,7.18913E+11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.8296E+11,1.97591E+11,2.13636E+11,2.25711E+11,2.19496E+11,2.02739E+11,2.12009E+11,2.21455E+11,2.29082E+11,2.43169E+11,2.6065E+11,2.77044E+11,2.88645E+11,3.02985E+11,3.19452E+11,3.24965E+11,3.22721E+11,3.46968E+11,3.49883E+11,3.75224E+11,3.85309E+11,3.89102E+11,4.01296E+11,4.15082E+11,4.32422E+11,4.50683E+11,4.6038E+11,4.31857E+11,4.38622E+11
,,,,,55.11931326,54.37725835,53.64075518,53.85529784,54.37049791,53.62904555,54.72810495,54.8307435,55.09970906,54.41339037,52.64047015,52.80658737,52.30043401,51.45115065,51.22094342,50.44795321,51.60436735,49.55609866,50.42680995,51.15220571,51.7791962,53.14803802,54.94809903,55.93515763,56.57482789,57.05569107,58.28601376,58.05946335,56.67736476
,,,,,1.00846E+11,1.07445E+11,1.14596E+11,1.21557E+11,1.19341E+11,1.08727E+11,1.16029E+11,1.21425E+11,1.26224E+11,1.32316E+11,1.37208E+11,1.46297E+11,1.50963E+11,1.55889E+11,1.63626E+11,1.63938E+11,1.66538E+11,1.71944E+11,1.76435E+11,1.91936E+11,1.9951E+11,2.068E+11,2.20505E+11,2.32177E+11,2.44642E+11,2.5714E+11,2.68337E+11,2.50734E+11,2.48599E+11
